video_id,subset,openness,conscientiousness,extraversion,agreeableness,neuroticism,emotional_stability,interview,text,video,audio
c7tczvW3_dQ.002,train,0.577778,0.553398,0.439252,0.615385,0.427083,0.572917,0.560748,"... the movie Paul in New Mexico, we got to blow you a house which was absolutely amazing. It's those funny things that when you write a script and you write one-",1,1
8OGiv7FetSQ.001,train,0.733333,0.533981,0.64486,0.659341,0.34375,0.65625,0.654206,"This video is going to be a quick one, but it's going to be a great one for you guys so let's get started. So yes, as you can see from the title, I hit 10,000 subscribers and you guys just don't know how much that means to me. I-",1,1
_ztmNiy8D3c.000,train,0.288889,0.271845,0.17757,0.274725,0.71875,0.28125,0.196262,"Here's another person I went to school with, her name's April. All right, her first question is where's the new music? Well, if you're watching this video ...",1,1
1Lv72Si4GnY.001,train,0.466667,0.184466,0.523364,0.43956,0.604167,0.395833,0.280374,"... because I wanted something sweet like a cake or ice cream, something like that. Instead of doing something, eating something fattening, I was like-",1,1
F5kL7RWS_f0.004,train,0.377778,0.563107,0.308411,0.428571,0.614583,0.385417,0.383178,You're making sure that you heard them correctly. They can even from that point go deeper if need be. That's identifying the real issue. That's your I. O is offer a solution. We know that ...,1,1
Rw_ZLT9vZTI.001,test,0.755556,0.92233,0.579439,0.714286,0.270833,0.729167,0.775701,"It made me realize that I have not done a Q and A. How appropriate is that? Considering that I'm always asking you to leave your suggestions and your comments, and many of those are questions. As I comb through all of the questions from video-",1,1
YPnuq0tDDqk.000,train,0.644444,0.23301,0.271028,0.230769,0.75,0.25,0.224299,Can I be a panda? Like does that really count? Can I be a panda? I want to be a panda when I grow up. That's my final decision. No arguments. I am a panda. Okay-,1,1
YwsVpkumbJc.001,test,0.622222,0.815534,0.551402,0.461538,0.416667,0.583333,0.579439,"Video answering all of your questions and hopefully that gets me back into posting regularly on this channel, because I feel so bad that I've neglected it for so long. I know I need to update my natural hair channel, too, but I'm doing one channel at a time.",1,1
RGuHfwIRKpA.002,valid,0.422222,0.805825,0.317757,0.637363,0.427083,0.572917,0.616822,"... pending on the interview I'm going on, so it focuses on whatever it is that that interview has to do with. It wraps everything up and then the chronology of my experience is down at the bottom. That doesn't-",1,1
On2c_8sU8Vw.004,train,0.855556,0.815534,0.82243,0.626374,0.197917,0.802083,0.747664,"Guys, so today I'm going to be doing a Q and A answering all of your guys's questions, and I asked you on Instagram to ask me whatever question you may have. You guys asked me a bunch of questions and I'm going to answer all of them today. If you guys want to participate in the next ...",1,1
